Location,Population,STATEFP,PLACEFP,PLACENS,GEOID,GEOIDFQ,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,hospital_count,Fire_station_counts_Population,Fire_station_counts_STATEFP,Fire_station_counts_PLACEFP,Fire_station_counts_PLACENS,Fire_station_counts_GEOID,Fire_station_counts_GEOIDFQ,Fire_station_counts_NAME,Fire_station_counts_NAMELSAD,Fire_station_counts_LSAD,Fire_station_counts_CLASSFP,Fire_station_counts_PCICBSA,Fire_station_counts_MTFCC,Fire_station_counts_FUNCSTAT,Fire_station_counts_ALAND,Fire_station_counts_AWATER,Fire_station_counts_INTPTLAT,Fire_station_counts_INTPTLON,Fire_station_counts_fire_station_count,Shortest lines_Population,Shortest lines_STATEFP,Shortest lines_PLACEFP,Shortest lines_PLACENS,Shortest lines_GEOID,Shortest lines_GEOIDFQ,Shortest lines_NAME,Shortest lines_NAMELSAD,Shortest lines_LSAD,Shortest lines_CLASSFP,Shortest lines_PCICBSA,Shortest lines_MTFCC,Shortest lines_FUNCSTAT,Shortest lines_ALAND,Shortest lines_AWATER,Shortest lines_INTPTLAT,Shortest lines_INTPTLON,Shortest lines_objectid,Shortest lines_fraarcid,Shortest lines_frfranode,Shortest lines_tofranode,Shortest lines_stfips,Shortest lines_cntyfips,Shortest lines_stcntyfips,Shortest lines_stateab,Shortest lines_country,Shortest lines_fradistrct,Shortest lines_rrowner1,Shortest lines_rrowner2,Shortest lines_rrowner3,Shortest lines_trkrghts1,Shortest lines_trkrghts2,Shortest lines_trkrghts3,Shortest lines_trkrghts4,Shortest lines_trkrghts5,Shortest lines_trkrghts6,Shortest lines_trkrghts7,Shortest lines_trkrghts8,Shortest lines_trkrghts9,Shortest lines_division,Shortest lines_subdiv,Shortest lines_branch,Shortest lines_yardname,Shortest lines_passngr,Shortest lines_stracnet,Shortest lines_tracks,Shortest lines_net,Shortest lines_miles,Shortest lines_km,Shortest lines_timezone,Shortest lines_shape_Length,Shortest lines_distance
Medaryville town," 560 ","18","48186","02396747","1848186",1600000US1848186,Medaryville,Medaryville town,"43",C1,N,G4110,A,"1188595","0","+41.0803564","-086.8905495",0," 560 ","18","48186","02396747","1848186",1600000US1848186,Medaryville,Medaryville town,"43",C1,N,G4110,A,"1188595","0","+41.0803564","-086.8905495",1," 560 ","18","48186","02396747","1848186",1600000US1848186,Medaryville,Medaryville town,"43",C1,N,G4110,A,"1188595","0","+41.0803564","-086.8905495","192981","493566","420330","420329","18","131","18131",IN,US,"4",CSXT,,,,,,,,,,,,,,,,,,0,O,0.19869629,0.31977132,E,0.00288154452321408,0
Medora town," 629 ","18","48240","02396748","1848240",1600000US1848240,Medora,Medora town,"43",C1,N,G4110,A,"788417","0","+38.8246151","-086.1711265",0," 629 ","18","48240","02396748","1848240",1600000US1848240,Medora,Medora town,"43",C1,N,G4110,A,"788417","0","+38.8246151","-086.1711265",2," 629 ","18","48240","02396748","1848240",1600000US1848240,Medora,Medora town,"43",C1,N,G4110,A,"788417","0","+38.8246151","-086.1711265","194885","495470","424423","424515","18","071","18071",IN,US,"4",CSXT,,,,,,,,,,,,LOUISVILLE,INDIANA (CSXT),#N\A,,,,1,M,1.77286601,2.85315698,E,0.0300591541099559,0
Mellott town," 170 ","18","48294","02396749","1848294",1600000US1848294,Mellott,Mellott town,"43",C1,N,G4110,A,"886206","0","+40.1640926","-087.1488325",0," 170 ","18","48294","02396749","1848294",1600000US1848294,Mellott,Mellott town,"43",C1,N,G4110,A,"886206","0","+40.1640926","-087.1488325",1," 170 ","18","48294","02396749","1848294",1600000US1848294,Mellott,Mellott town,"43",C1,N,G4110,A,"886206","0","+40.1640926","-087.1488325","195333","495918","418263","418253","18","045","18045",IN,US,"4",NS,,,,,,,,,,,,,,,,,,0,O,0.51778689,0.8332989,E,0.0075678398640476,19215.0679492707
Mentone town," 938 ","18","48402","02396750","1848402",1600000US1848402,Mentone,Mentone town,"43",C1,N,G4110,A,"1509894","31349","+41.1738178","-086.0384395",0," 938 ","18","48402","02396750","1848402",1600000US1848402,Mentone,Mentone town,"43",C1,N,G4110,A,"1509894","31349","+41.1738178","-086.0384395",1," 938 ","18","48402","02396750","1848402",1600000US1848402,Mentone,Mentone town,"43",C1,N,G4110,A,"1509894","31349","+41.1738178","-086.0384395","195649","496234","425130","425214","18","085","18085",IN,US,"4",NS,,,,,,,,,,,,,,,,,,0,S,0.49448147,0.79579237,E,0.00893420854676488,0
Meridian Hills town," 1,758 ","18","48456","02396752","1848456",1600000US1848456,Meridian Hills,Meridian Hills town,"43",C1,N,G4110,A,"3825480","0","+39.8873920","-086.1567099",0," 1,758 ","18","48456","02396752","1848456",1600000US1848456,Meridian Hills,Meridian Hills town,"43",C1,N,G4110,A,"3825480","0","+39.8873920","-086.1567099",0," 1,758 ","18","48456","02396752","1848456",1600000US1848456,Meridian Hills,Meridian Hills town,"43",C1,N,G4110,A,"3825480","0","+39.8873920","-086.1567099","205632","506227","424666","424650","18","097","18097",IN,US,"4",XXXX,,,,,,,,,,,,,,,,,,0,T,3.42855438,5.51773446,E,0.0504904468128093,201.218151019612
Merom town," 206 ","18","48474","02396753","1848474",1600000US1848474,Merom,Merom town,"43",C1,N,G4110,A,"920702","0","+39.0559644","-087.5672202",0," 206 ","18","48474","02396753","1848474",1600000US1848474,Merom,Merom town,"43",C1,N,G4110,A,"920702","0","+39.0559644","-087.5672202",1," 206 ","18","48474","02396753","1848474",1600000US1848474,Merom,Merom town,"43",C1,N,G4110,A,"920702","0","+39.0559644","-087.5672202","194580","495165","415504","415804","18","153","18153",IN,US,"4",INRD,,,,,,,,,,,,#N\A,INDIANAPOLIS (INRD),MAIN TRACK,,,,1,M,1.52404756,2.4527217,E,0.0270514427413608,3687.61611201509
Merrillville town," 36,233 ","18","48528","02396754","1848528",1600000US1848528,Merrillville,Merrillville town,"43",C1,N,G4110,A,"86037191","123414","+41.4726873","-087.3180704",2," 36,233 ","18","48528","02396754","1848528",1600000US1848528,Merrillville,Merrillville town,"43",C1,N,G4110,A,"86037191","123414","+41.4726873","-087.3180704",4," 36,233 ","18","48528","02396754","1848528",1600000US1848528,Merrillville,Merrillville town,"43",C1,N,G4110,A,"86037191","123414","+41.4726873","-087.3180704","205974","506569","416750","417271","18","089","18089",IN,US,"4",XXXX,,,,,,,,,,,,,,,,,,0,T,5.55721907,8.94349506,C,0.0876235842775978,0
Michiana Shores town," 303 ","18","48744","02396756","1848744",1600000US1848744,Michiana Shores,Michiana Shores town,"43",C1,N,G4110,A,"901963","0","+41.7563570","-086.8181594",0," 303 ","18","48744","02396756","1848744",1600000US1848744,Michiana Shores,Michiana Shores town,"43",C1,N,G4110,A,"901963","0","+41.7563570","-086.8181594",1," 303 ","18","48744","02396756","1848744",1600000US1848744,Michiana Shores,Michiana Shores town,"43",C1,N,G4110,A,"901963","0","+41.7563570","-086.8181594","335298","494342","420844","421358","18","091","18091",IN,US,"4",AMTK,,,NS,,,,,,,,,#N\A,MICHIGAN LINE (AMTK),MICHIGAN LINE,,A,,1,M,3.45444259,5.55939757,C,0.0623212853398613,22.8536249995628
Michigan City city," 31,792 ","18","48798","02395110","1848798",1600000US1848798,Michigan City,Michigan City city,"25",C1,Y,G4110,A,"52852821","479664","+41.7087757","-086.8668754",1," 31,792 ","18","48798","02395110","1848798",1600000US1848798,Michigan City,Michigan City city,"25",C1,Y,G4110,A,"52852821","479664","+41.7087757","-086.8668754",4," 31,792 ","18","48798","02395110","1848798",1600000US1848798,Michigan City,Michigan City city,"25",C1,Y,G4110,A,"52852821","479664","+41.7087757","-086.8668754","194468","495053","420258","420295","18","091","18091",IN,US,"4",AMTK,,,NS,,,,,,,,,,,,,,,0,S,0.31254698,0.50299662,C,0.00601465638415606,0
Michigantown town," 425 ","18","48816","02396757","1848816",1600000US1848816,Michigantown,Michigantown town,"43",C1,N,G4110,A,"701668","0","+40.3279917","-086.3916502",0," 425 ","18","48816","02396757","1848816",1600000US1848816,Michigantown,Michigantown town,"43",C1,N,G4110,A,"701668","0","+40.3279917","-086.3916502",1," 425 ","18","48816","02396757","1848816",1600000US1848816,Michigantown,Michigantown town,"43",C1,N,G4110,A,"701668","0","+40.3279917","-086.3916502","193951","494536","423482","423718","18","023","18023",IN,US,"4",NS,,,,,,,,,,,,,KOKOMO SPUR,,,,,1,X,3.84863392,6.19378829,E,0.0654050361119137,0
