Location,Population,STATEFP,PLACEFP,PLACENS,GEOID,GEOIDFQ,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,hospital_count,Fire_station_counts_Population,Fire_station_counts_STATEFP,Fire_station_counts_PLACEFP,Fire_station_counts_PLACENS,Fire_station_counts_GEOID,Fire_station_counts_GEOIDFQ,Fire_station_counts_NAME,Fire_station_counts_NAMELSAD,Fire_station_counts_LSAD,Fire_station_counts_CLASSFP,Fire_station_counts_PCICBSA,Fire_station_counts_MTFCC,Fire_station_counts_FUNCSTAT,Fire_station_counts_ALAND,Fire_station_counts_AWATER,Fire_station_counts_INTPTLAT,Fire_station_counts_INTPTLON,Fire_station_counts_fire_station_count,Shortest lines_Population,Shortest lines_STATEFP,Shortest lines_PLACEFP,Shortest lines_PLACENS,Shortest lines_GEOID,Shortest lines_GEOIDFQ,Shortest lines_NAME,Shortest lines_NAMELSAD,Shortest lines_LSAD,Shortest lines_CLASSFP,Shortest lines_PCICBSA,Shortest lines_MTFCC,Shortest lines_FUNCSTAT,Shortest lines_ALAND,Shortest lines_AWATER,Shortest lines_INTPTLAT,Shortest lines_INTPTLON,Shortest lines_objectid,Shortest lines_fraarcid,Shortest lines_frfranode,Shortest lines_tofranode,Shortest lines_stfips,Shortest lines_cntyfips,Shortest lines_stcntyfips,Shortest lines_stateab,Shortest lines_country,Shortest lines_fradistrct,Shortest lines_rrowner1,Shortest lines_rrowner2,Shortest lines_rrowner3,Shortest lines_trkrghts1,Shortest lines_trkrghts2,Shortest lines_trkrghts3,Shortest lines_trkrghts4,Shortest lines_trkrghts5,Shortest lines_trkrghts6,Shortest lines_trkrghts7,Shortest lines_trkrghts8,Shortest lines_trkrghts9,Shortest lines_division,Shortest lines_subdiv,Shortest lines_branch,Shortest lines_yardname,Shortest lines_passngr,Shortest lines_stracnet,Shortest lines_tracks,Shortest lines_net,Shortest lines_miles,Shortest lines_km,Shortest lines_timezone,Shortest lines_shape_Length,Shortest lines_distance
Clay City town," 878 ","18","13276","02396650","1813276",1600000US1813276,Clay City,Clay City town,"43",C1,N,G4110,A,"1395808","0","+39.2769861","-087.1127100",0," 878 ","18","13276","02396650","1813276",1600000US1813276,Clay City,Clay City town,"43",C1,N,G4110,A,"1395808","0","+39.2769861","-087.1127100",1," 878 ","18","13276","02396650","1813276",1600000US1813276,Clay City,Clay City town,"43",C1,N,G4110,A,"1395808","0","+39.2769861","-087.1127100","194569","495154","418333","418412","18","153","18153",IN,US,"4",INRD,,,,,,,,,,,,#N\A,CHICAGO (INRD),MAIN,,,C,1,M,1.50286893,2.41863794,E,0.0228026132289101,14359.9319116502
Claypool town," 398 ","18","13312","02396651","1813312",1600000US1813312,Claypool,Claypool town,"43",C1,N,G4110,A,"633098","20669","+41.1307576","-085.8822723",0," 398 ","18","13312","02396651","1813312",1600000US1813312,Claypool,Claypool town,"43",C1,N,G4110,A,"633098","20669","+41.1307576","-085.8822723",1," 398 ","18","13312","02396651","1813312",1600000US1813312,Claypool,Claypool town,"43",C1,N,G4110,A,"633098","20669","+41.1307576","-085.8822723","335143","493732","425802","426186","18","085","18085",IN,US,"4",NS,,,,,,,,,,,,GREAT LAKES,CHICAGO DISTRICT,#N\A,,,S,1,M,4.38020233,7.04926643,E,0.0826516369412519,0
Clayton town," 915 ","18","13366","02396652","1813366",1600000US1813366,Clayton,Clayton town,"43",C1,N,G4110,A,"1682796","780","+39.6883922","-086.5218556",0," 915 ","18","13366","02396652","1813366",1600000US1813366,Clayton,Clayton town,"43",C1,N,G4110,A,"1682796","780","+39.6883922","-086.5218556",1," 915 ","18","13366","02396652","1813366",1600000US1813366,Clayton,Clayton town,"43",C1,N,G4110,A,"1682796","780","+39.6883922","-086.5218556","335542","536833","497904","422981","18","063","18063",IN,US,"4",CSXT,,,,,,,,,,,,CHICAGO,ST LOUIS LINE,#N\A,,,S,2,M,4.18727033,6.73877186,E,0.0769623544688311,7771.5851716677
Clear Lake town," 358 ","18","13438","02396653","1813438",1600000US1813438,Clear Lake,Clear Lake town,"43",C1,N,G4110,A,"2881818","3496015","+41.7389863","-084.8344431",0," 358 ","18","13438","02396653","1813438",1600000US1813438,Clear Lake,Clear Lake town,"43",C1,N,G4110,A,"2881818","3496015","+41.7389863","-084.8344431",0," 358 ","18","13438","02396653","1813438",1600000US1813438,Clear Lake,Clear Lake town,"43",C1,N,G4110,A,"2881818","3496015","+41.7389863","-084.8344431","194403","494988","430085","430090","18","151","18151",IN,US,"4",IN,,,,,,,,,,,,FREMONT,,MAIN,,,,1,M,0.0364759,0.05870239,E,0.000652999765298608,2862.70776668744
Clermont town," 1,368 ","18","13492","02396654","1813492",1600000US1813492,Clermont,Clermont town,"43",C1,N,G4110,A,"1729344","0","+39.8165227","-086.3206780",0," 1,368 ","18","13492","02396654","1813492",1600000US1813492,Clermont,Clermont town,"43",C1,N,G4110,A,"1729344","0","+39.8165227","-086.3206780",0," 1,368 ","18","13492","02396654","1813492",1600000US1813492,Clermont,Clermont town,"43",C1,N,G4110,A,"1729344","0","+39.8165227","-086.3206780","335224","494213","423761","423861","18","097","18097",IN,US,"4",CSXT,,,AMTK,NS,,,,,,,,CHICAGO,CRAWFORDSVILLE BRANCH,#N\A,,A,,1,M,0.94796097,1.52559835,E,0.0166576751620524,0
Clifford town," 207 ","18","13582","02396655","1813582",1600000US1813582,Clifford,Clifford town,"43",C1,N,G4110,A,"228983","0","+39.2826378","-085.8690512",0," 207 ","18","13582","02396655","1813582",1600000US1813582,Clifford,Clifford town,"43",C1,N,G4110,A,"228983","0","+39.2826378","-085.8690512",1," 207 ","18","13582","02396655","1813582",1600000US1813582,Clifford,Clifford town,"43",C1,N,G4110,A,"228983","0","+39.2826378","-085.8690512","193698","494283","425550","425592","18","005","18005",IN,US,"4",LIRC,CSXT,,INRD,,,,,,,,,LOUISVILLE,LOUISVILLE SECONDARY,LIRC MAIN,,,S,1,M,3.33534242,5.36772405,E,0.0488699087416033,8202.65718349972
Clinton city," 4,816 ","18","13780","02393567","1813780",1600000US1813780,Clinton,Clinton city,"25",C1,N,G4110,A,"5831628","64944","+39.6609651","-087.4046592",1," 4,816 ","18","13780","02393567","1813780",1600000US1813780,Clinton,Clinton city,"25",C1,N,G4110,A,"5831628","64944","+39.6609651","-087.4046592",1," 4,816 ","18","13780","02393567","1813780",1600000US1813780,Clinton,Clinton city,"25",C1,N,G4110,A,"5831628","64944","+39.6609651","-087.4046592","198896","499482","416966","416936","18","165","18165",IN,US,"4",CSXT,,,INRD,,,,,,,,,,,,,,,0,S,1.81618998,2.9228803,E,0.0266339846046261,0
Cloverdale town," 2,126 ","18","13852","02396656","1813852",1600000US1813852,Cloverdale,Cloverdale town,"43",C1,N,G4110,A,"9033744","165983","+39.5212214","-086.7986891",0," 2,126 ","18","13852","02396656","1813852",1600000US1813852,Cloverdale,Cloverdale town,"43",C1,N,G4110,A,"9033744","165983","+39.5212214","-086.7986891",1," 2,126 ","18","13852","02396656","1813852",1600000US1813852,Cloverdale,Cloverdale town,"43",C1,N,G4110,A,"9033744","165983","+39.5212214","-086.7986891","195473","496058","421391","421409","18","133","18133",IN,US,"4",CSXT,,,,,,,,,,,,,,,,,,0,O,0.20930522,0.33684477,E,0.00329173836360075,0
Coatesville town," 563 ","18","14050","02396657","1814050",1600000US1814050,Coatesville,Coatesville town,"43",C1,N,G4110,A,"1692260","32241","+39.6884487","-086.6693884",0," 563 ","18","14050","02396657","1814050",1600000US1814050,Coatesville,Coatesville town,"43",C1,N,G4110,A,"1692260","32241","+39.6884487","-086.6693884",1," 563 ","18","14050","02396657","1814050",1600000US1814050,Coatesville,Coatesville town,"43",C1,N,G4110,A,"1692260","32241","+39.6884487","-086.6693884","335419","494633","422348","422505","18","063","18063",IN,US,"4",CSXT,,,,,,,,,,,,CHICAGO,ST LOUIS LINE,#N\A,,,S,2,M,0.97068423,1.56216797,E,0.0173272433854829,1724.74459575469
Colfax town," 700 ","18","14284","02396658","1814284",1600000US1814284,Colfax,Colfax town,"43",C1,N,G4110,A,"957569","0","+40.1941824","-086.6669422",0," 700 ","18","14284","02396658","1814284",1600000US1814284,Colfax,Colfax town,"43",C1,N,G4110,A,"957569","0","+40.1941824","-086.6669422",1," 700 ","18","14284","02396658","1814284",1600000US1814284,Colfax,Colfax town,"43",C1,N,G4110,A,"957569","0","+40.1941824","-086.6669422","201557","502146","422835","422842","18","023","18023",IN,US,"4",NS,,,,,,,,,,,,,,,,,,0,O,0.15870647,0.25541381,E,0.00300309673313234,15899.4306646507
Columbia City city," 10,086 ","18","14716","02393606","1814716",1600000US1814716,Columbia City,Columbia City city,"25",C1,N,G4110,A,"14219024","48844","+41.1630510","-085.4787507",1," 10,086 ","18","14716","02393606","1814716",1600000US1814716,Columbia City,Columbia City city,"25",C1,N,G4110,A,"14219024","48844","+41.1630510","-085.4787507",2," 10,086 ","18","14716","02393606","1814716",1600000US1814716,Columbia City,Columbia City city,"25",C1,N,G4110,A,"14219024","48844","+41.1630510","-085.4787507","193145","493730","427680","427701","18","183","18183",IN,US,"4",CFE,,,NS,,,,,,,,,NORTHERN,FORT WAYNE,#N\A,,,,1,M,0.68196381,1.09751656,E,0.0128102558648259,0
Columbus city," 51,268 ","18","14734","02393609","1814734",1600000US1814734,Columbus,Columbus city,"25",C1,Y,G4110,A,"74244466","877738","+39.2086840","-085.9190595",1," 51,268 ","18","14734","02393609","1814734",1600000US1814734,Columbus,Columbus city,"25",C1,Y,G4110,A,"74244466","877738","+39.2086840","-085.9190595",8," 51,268 ","18","14734","02393609","1814734",1600000US1814734,Columbus,Columbus city,"25",C1,Y,G4110,A,"74244466","877738","+39.2086840","-085.9190595","201450","502039","425598","425592","18","005","18005",IN,US,"4",LIRC,,,,,,,,,,,,,,,,,,0,S,0.55932147,0.90014245,E,0.00820730327152463,0
Connersville city," 13,292 ","18","14932","02393620","1814932",1600000US1814932,Connersville,Connersville city,"25",C1,Y,G4110,A,"20114412","39176","+39.6580232","-085.1417471",0," 13,292 ","18","14932","02393620","1814932",1600000US1814932,Connersville,Connersville city,"25",C1,Y,G4110,A,"20114412","39176","+39.6580232","-085.1417471",3," 13,292 ","18","14932","02393620","1814932",1600000US1814932,Connersville,Connersville city,"25",C1,Y,G4110,A,"20114412","39176","+39.6580232","-085.1417471","195765","496350","429145","429169","18","041","18041",IN,US,"4",CSXT,,,,,,,,,,,,,,,CONNERSVILLE,,,0,Y,0.46327947,0.74557753,E,0.00848346287610065,0
Converse town," 1,139 ","18","14986","02396660","1814986",1600000US1814986,Converse,Converse town,"43",C1,N,G4110,A,"2561211","5717","+40.5789128","-085.8753704",0," 1,139 ","18","14986","02396660","1814986",1600000US1814986,Converse,Converse town,"43",C1,N,G4110,A,"2561211","5717","+40.5789128","-085.8753704",1," 1,139 ","18","14986","02396660","1814986",1600000US1814986,Converse,Converse town,"43",C1,N,G4110,A,"2561211","5717","+40.5789128","-085.8753704","195442","496027","425703","425811","18","103","18103",IN,US,"4",CERA,,,,,,,,,,,,NORTHERN,AMBOY,#N\A,,,,1,M,1.71865885,2.76591885,E,0.0311825249296892,0
Corunna town," 238 ","18","15220","02396663","1815220",1600000US1815220,Corunna,Corunna town,"43",C1,N,G4110,A,"462774","0","+41.4358590","-085.1441504",0," 238 ","18","15220","02396663","1815220",1600000US1815220,Corunna,Corunna town,"43",C1,N,G4110,A,"462774","0","+41.4358590","-085.1441504",0," 238 ","18","15220","02396663","1815220",1600000US1815220,Corunna,Corunna town,"43",C1,N,G4110,A,"462774","0","+41.4358590","-085.1441504","336226","499461","428857","429064","18","033","18033",IN,US,"4",NS,,,AMTK,CPRS,,,,,,,,GREAT LAKES,CHICAGO LINE,#N\A,,A,S,2,M,2.35053553,3.78282781,E,0.0452410191197858,0
Corydon town," 3,164 ","18","15256","02396664","1815256",1600000US1815256,Corydon,Corydon town,"43",C1,N,G4110,A,"4279159","0","+38.2128780","-086.1256026",0," 3,164 ","18","15256","02396664","1815256",1600000US1815256,Corydon,Corydon town,"43",C1,N,G4110,A,"4279159","0","+38.2128780","-086.1256026",1," 3,164 ","18","15256","02396664","1815256",1600000US1815256,Corydon,Corydon town,"43",C1,N,G4110,A,"4279159","0","+38.2128780","-086.1256026","197286","497871","424696","424712","18","061","18061",IN,US,"4",LNAL,,,,,,,,,,,,#N\A,,MAIN,,T,,1,M,1.8333229,2.95045312,E,0.0296636329160716,0
Country Club Heights town," 96 ","18","15364","02396665","1815364",1600000US1815364,Country Club Heights,Country Club Heights town,"43",C1,N,G4110,A,"734544","0","+40.1245121","-085.6877877",0," 96 ","18","15364","02396665","1815364",1600000US1815364,Country Club Heights,Country Club Heights town,"43",C1,N,G4110,A,"734544","0","+40.1245121","-085.6877877",0," 96 ","18","15364","02396665","1815364",1600000US1815364,Country Club Heights,Country Club Heights town,"43",C1,N,G4110,A,"734544","0","+40.1245121","-085.6877877","206703","507298","426797","426848","18","095","18095",IN,US,"4",NS,,,,,,,,,,,,MIDWEST,MARION BRANCH,#N\A,,,,1,M,2.39587755,3.85579887,E,0.0354799268706665,8.42104433212876
Covington city," 2,686 ","18","15490","02393656","1815490",1600000US1815490,Covington,Covington city,"25",C1,N,G4110,A,"3743015","0","+40.1414705","-087.3905987",0," 2,686 ","18","15490","02393656","1815490",1600000US1815490,Covington,Covington city,"25",C1,N,G4110,A,"3743015","0","+40.1414705","-087.3905987",1," 2,686 ","18","15490","02393656","1815490",1600000US1815490,Covington,Covington city,"25",C1,N,G4110,A,"3743015","0","+40.1414705","-087.3905987","195270","495855","416738","416762","18","171","18171",IN,US,"4",VVRR,,,,,,,,,,,,,,,,,,0,O,0.25311558,0.40735086,E,0.00454756329397438,2520.19682140389
Crandall town," 136 ","18","15634","02396666","1815634",1600000US1815634,Crandall,Crandall town,"43",C1,N,G4110,A,"269437","0","+38.2880975","-086.0659478",0," 136 ","18","15634","02396666","1815634",1600000US1815634,Crandall,Crandall town,"43",C1,N,G4110,A,"269437","0","+38.2880975","-086.0659478",0," 136 ","18","15634","02396666","1815634",1600000US1815634,Crandall,Crandall town,"43",C1,N,G4110,A,"269437","0","+38.2880975","-086.0659478","335619","495192","425075","425280","18","061","18061",IN,US,"4",NS,,,,,,,,,,,,MIDWEST,SOUTHERN-EAST DISTRICT,#N\A,,,S,1,M,2.04095736,3.28460905,E,0.0370029025513922,0
Crane town," 165 ","18","15652","02396667","1815652",1600000US1815652,Crane,Crane town,"43",C1,N,G4110,A,"311762","0","+38.8942964","-086.9012577",0," 165 ","18","15652","02396667","1815652",1600000US1815652,Crane,Crane town,"43",C1,N,G4110,A,"311762","0","+38.8942964","-086.9012577",0," 165 ","18","15652","02396667","1815652",1600000US1815652,Crane,Crane town,"43",C1,N,G4110,A,"311762","0","+38.8942964","-086.9012577","195971","496556","420361","420399","18","101","18101",IN,US,"4",USG,,,,,,,,,,,,,,,,,,0,O,1.01053155,1.62629613,C,0.0165568711409204,1341.94783105599
Crawfordsville city," 16,479 ","18","15742","02393664","1815742",1600000US1815742,Crawfordsville,Crawfordsville city,"25",C1,Y,G4110,A,"25870404","0","+40.0418606","-086.8976236",1," 16,479 ","18","15742","02393664","1815742",1600000US1815742,Crawfordsville,Crawfordsville city,"25",C1,Y,G4110,A,"25870404","0","+40.0418606","-086.8976236",2," 16,479 ","18","15742","02393664","1815742",1600000US1815742,Crawfordsville,Crawfordsville city,"25",C1,Y,G4110,A,"25870404","0","+40.0418606","-086.8976236","195264","495849","420301","420311","18","107","18107",IN,US,"4",CSXT,,,,,,,,,,,,,,,,,,0,O,0.12670346,0.20390986,E,0.00238883827258988,0
Cromwell town," 482 ","18","15994","02396668","1815994",1600000US1815994,Cromwell,Cromwell town,"43",C1,N,G4110,A,"742891","0","+41.4032608","-085.6142775",0," 482 ","18","15994","02396668","1815994",1600000US1815994,Cromwell,Cromwell town,"43",C1,N,G4110,A,"742891","0","+41.4032608","-085.6142775",1," 482 ","18","15994","02396668","1815994",1600000US1815994,Cromwell,Cromwell town,"43",C1,N,G4110,A,"742891","0","+41.4032608","-085.6142775","335210","494181","427133","427378","18","113","18113",IN,US,"4",CSXT,,,CPRS,,,,,,,,,CHICAGO,GARRETT,#N\A,,,,2,M,2.48961983,4.00666275,E,0.0474902456756559,0
Crothersville town," 1,493 ","18","16084","02396669","1816084",1600000US1816084,Crothersville,Crothersville town,"43",C1,N,G4110,A,"3003589","0","+38.7944553","-085.8400231",0," 1,493 ","18","16084","02396669","1816084",1600000US1816084,Crothersville,Crothersville town,"43",C1,N,G4110,A,"3003589","0","+38.7944553","-085.8400231",1," 1,493 ","18","16084","02396669","1816084",1600000US1816084,Crothersville,Crothersville town,"43",C1,N,G4110,A,"3003589","0","+38.7944553","-085.8400231","196060","496645","425952","425956","18","071","18071",IN,US,"4",LIRC,,,,,,,,,,,,,,,,,,0,O,0.12115144,0.19497474,E,0.00183803184290808,0
Crown Point city," 34,526 ","18","16138","02393682","1816138",1600000US1816138,Crown Point,Crown Point city,"25",C1,N,G4110,A,"49238717","155706","+41.4091077","-087.3469500",1," 34,526 ","18","16138","02393682","1816138",1600000US1816138,Crown Point,Crown Point city,"25",C1,N,G4110,A,"49238717","155706","+41.4091077","-087.3469500",1," 34,526 ","18","16138","02393682","1816138",1600000US1816138,Crown Point,Crown Point city,"25",C1,N,G4110,A,"49238717","155706","+41.4091077","-087.3469500","205974","506569","416750","417271","18","089","18089",IN,US,"4",XXXX,,,,,,,,,,,,,,,,,,0,T,5.55721907,8.94349506,C,0.0876235842775978,1.59432849508078
Crows Nest town," 66 ","18","16156","02396670","1816156",1600000US1816156,Crows Nest,Crows Nest town,"43",C1,N,G4110,A,"1111854","0","+39.8564809","-086.1690638",0," 66 ","18","16156","02396670","1816156",1600000US1816156,Crows Nest,Crows Nest town,"43",C1,N,G4110,A,"1111854","0","+39.8564809","-086.1690638",0," 66 ","18","16156","02396670","1816156",1600000US1816156,Crows Nest,Crows Nest town,"43",C1,N,G4110,A,"1111854","0","+39.8564809","-086.1690638","205633","506228","424646","424656","18","097","18097",IN,US,"4",XXXX,,,,,,,,,,,,,,,,,,0,T,3.20367679,5.15582832,E,0.0465400203761207,2391.26279130423
Culver town," 1,178 ","18","16300","02396671","1816300",1600000US1816300,Culver,Culver town,"43",C1,N,G4110,A,"2999125","0","+41.2166062","-086.4242832",0," 1,178 ","18","16300","02396671","1816300",1600000US1816300,Culver,Culver town,"43",C1,N,G4110,A,"2999125","0","+41.2166062","-086.4242832",1," 1,178 ","18","16300","02396671","1816300",1600000US1816300,Culver,Culver town,"43",C1,N,G4110,A,"2999125","0","+41.2166062","-086.4242832","335248","494252","423229","423395","18","099","18099",IN,US,"4",NS,,,,,,,,,,,,GREAT LAKES,CHICAGO DISTRICT,#N\A,,,S,1,M,2.41043368,3.87922474,E,0.0459917723856437,4248.95935691498
Cumberland town," 6,280 ","18","16336","02396672","1816336",1600000US1816336,Cumberland,Cumberland town,"43",C1,N,G4110,A,"7279325","24768","+39.7867725","-085.9445981",0," 6,280 ","18","16336","02396672","1816336",1600000US1816336,Cumberland,Cumberland town,"43",C1,N,G4110,A,"7279325","24768","+39.7867725","-085.9445981",0," 6,280 ","18","16336","02396672","1816336",1600000US1816336,Cumberland,Cumberland town,"43",C1,N,G4110,A,"7279325","24768","+39.7867725","-085.9445981","335219","494194","425297","425520","18","097","18097",IN,US,"4",CSXT,,,AMTK,,,,,,,,,LOUISVILLE,INDIANAPOLIS (CSXT),#N\A,,A,,1,M,3.48390014,5.60680501,E,0.0644436761590623,4119.15613775526
Cynthiana town," 551 ","18","16534","02396673","1816534",1600000US1816534,Cynthiana,Cynthiana town,"43",C1,N,G4110,A,"1032900","0","+38.1872578","-087.7085300",0," 551 ","18","16534","02396673","1816534",1600000US1816534,Cynthiana,Cynthiana town,"43",C1,N,G4110,A,"1032900","0","+38.1872578","-087.7085300",1," 551 ","18","16534","02396673","1816534",1600000US1816534,Cynthiana,Cynthiana town,"43",C1,N,G4110,A,"1032900","0","+38.1872578","-087.7085300","336325","500122","415449","415503","18","051","18051",IN,US,"4",CSXT,,,,,,,,,,,,NASHVILLE,CED,#N\A,,,S,1,M,2.66051425,4.28169121,C,0.0394257829723189,13853.8625853942
Dale town," 1,530 ","18","16624","02396674","1816624",1600000US1816624,Dale,Dale town,"43",C1,N,G4110,A,"6259341","25936","+38.1848605","-086.9704113",0," 1,530 ","18","16624","02396674","1816624",1600000US1816624,Dale,Dale town,"43",C1,N,G4110,A,"6259341","25936","+38.1848605","-086.9704113",1," 1,530 ","18","16624","02396674","1816624",1600000US1816624,Dale,Dale town,"43",C1,N,G4110,A,"6259341","25936","+38.1848605","-086.9704113","199540","500128","419783","419662","18","147","18147",IN,US,"4",NS,,,,,,,,,,,,MIDWEST,EVANSVILLE BRANCH,EVANSVILLE BRANCH,,,,1,M,2.98752695,4.80796819,C,0.0454222333118968,0
Daleville town," 1,687 ","18","16642","02396675","1816642",1600000US1816642,Daleville,Daleville town,"43",C1,N,G4110,A,"5512267","62094","+40.1188719","-085.5562474",0," 1,687 ","18","16642","02396675","1816642",1600000US1816642,Daleville,Daleville town,"43",C1,N,G4110,A,"5512267","62094","+40.1188719","-085.5562474",1," 1,687 ","18","16642","02396675","1816642",1600000US1816642,Daleville,Daleville town,"43",C1,N,G4110,A,"5512267","62094","+40.1188719","-085.5562474","335519","494888","427444","427500","18","035","18035",IN,US,"4",CSXT,,,NS,,,,,,,,,CHICAGO,INDIANAPOLIS LINE,#N\A,,,S,2,M,1.10838266,1.78377255,E,0.0201031023129284,0
Dana town," 552 ","18","16732","02396677","1816732",1600000US1816732,Dana,Dana town,"43",C1,N,G4110,A,"756246","0","+39.8072565","-087.4945342",0," 552 ","18","16732","02396677","1816732",1600000US1816732,Dana,Dana town,"43",C1,N,G4110,A,"756246","0","+39.8072565","-087.4945342",1," 552 ","18","16732","02396677","1816732",1600000US1816732,Dana,Dana town,"43",C1,N,G4110,A,"756246","0","+39.8072565","-087.4945342","199187","499775","416146","416382","18","165","18165",IN,US,"4",DREI,,,,,,,,,,,,NASHVILLE,DECATUR (CSXT),#N\A,,,,1,M,1.15553334,1.85965437,E,0.021714250729034,0
Danville town," 10,927 ","18","16804","02396678","1816804",1600000US1816804,Danville,Danville town,"43",C1,N,G4110,A,"26059918","132342","+39.7588121","-086.4952815",1," 10,927 ","18","16804","02396678","1816804",1600000US1816804,Danville,Danville town,"43",C1,N,G4110,A,"26059918","132342","+39.7588121","-086.4952815",2," 10,927 ","18","16804","02396678","1816804",1600000US1816804,Danville,Danville town,"43",C1,N,G4110,A,"26059918","132342","+39.7588121","-086.4952815","335542","536833","497904","422981","18","063","18063",IN,US,"4",CSXT,,,,,,,,,,,,CHICAGO,ST LOUIS LINE,#N\A,,,S,2,M,4.18727033,6.73877186,E,0.0769623544688311,0
Darlington town," 715 ","18","16840","02396679","1816840",1600000US1816840,Darlington,Darlington town,"43",C1,N,G4110,A,"866979","0","+40.1073128","-086.7767384",0," 715 ","18","16840","02396679","1816840",1600000US1816840,Darlington,Darlington town,"43",C1,N,G4110,A,"866979","0","+40.1073128","-086.7767384",1," 715 ","18","16840","02396679","1816840",1600000US1816840,Darlington,Darlington town,"43",C1,N,G4110,A,"866979","0","+40.1073128","-086.7767384","195285","495870","420395","420433","18","107","18107",IN,US,"4",CSXT,,,,,,,,,,,,,,,,,,0,O,0.12772852,0.20555954,E,0.00240319787564252,12753.7524782557
Darmstadt town," 1,396 ","18","16858","02396680","1816858",1600000US1816858,Darmstadt,Darmstadt town,"43",C1,N,G4110,A,"11697337","152360","+38.0913709","-087.5768445",0," 1,396 ","18","16858","02396680","1816858",1600000US1816858,Darmstadt,Darmstadt town,"43",C1,N,G4110,A,"11697337","152360","+38.0913709","-087.5768445",1," 1,396 ","18","16858","02396680","1816858",1600000US1816858,Darmstadt,Darmstadt town,"43",C1,N,G4110,A,"11697337","152360","+38.0913709","-087.5768445","336204","499308","415543","415669","18","163","18163",IN,US,"4",CSXT,,,,,,,,,,,,NASHVILLE,EVANSVILLE TERMINAL,#N\A,,,S,1,M,2.88302805,4.63979317,C,0.0422077707477769,14.4016646907078
Dayton town," 1,351 ","18","17002","02396681","1817002",1600000US1817002,Dayton,Dayton town,"43",C1,N,G4110,A,"2976640","0","+40.3751588","-086.7739721",0," 1,351 ","18","17002","02396681","1817002",1600000US1817002,Dayton,Dayton town,"43",C1,N,G4110,A,"2976640","0","+40.3751588","-086.7739721",1," 1,351 ","18","17002","02396681","1817002",1600000US1817002,Dayton,Dayton town,"43",C1,N,G4110,A,"2976640","0","+40.3751588","-086.7739721","194217","494802","421848","422288","18","157","18157",IN,US,"4",NS,,,,,,,,,,,,MIDWEST,FRANKFORT BRANCH,#N\A,,,,1,M,4.03027894,6.48611819,E,0.0738747623652608,0
Decatur city," 9,990 ","18","17074","02394480","1817074",1600000US1817074,Decatur,Decatur city,"25",C1,Y,G4110,A,"15804665","16644","+40.8288537","-084.9278126",1," 9,990 ","18","17074","02394480","1817074",1600000US1817074,Decatur,Decatur city,"25",C1,Y,G4110,A,"15804665","16644","+40.8288537","-084.9278126",1," 9,990 ","18","17074","02394480","1817074",1600000US1817074,Decatur,Decatur city,"25",C1,Y,G4110,A,"15804665","16644","+40.8288537","-084.9278126","194051","494636","429798","429819","18","001","18001",IN,US,"4",CFE,,,,,,,,,,,,NORTHERN,DECATUR (CFE),#N\A,,,,1,M,0.75120062,1.20894264,E,0.0110353925541682,0
Decker town," 198 ","18","17110","02396684","1817110",1600000US1817110,Decker,Decker town,"43",C1,N,G4110,A,"488033","0","+38.5184722","-087.5240798",0," 198 ","18","17110","02396684","1817110",1600000US1817110,Decker,Decker town,"43",C1,N,G4110,A,"488033","0","+38.5184722","-087.5240798",1," 198 ","18","17110","02396684","1817110",1600000US1817110,Decker,Decker town,"43",C1,N,G4110,A,"488033","0","+38.5184722","-087.5240798","334444","491315","415931","415884","18","083","18083",IN,US,"4",CSXT,,,,,,,,,,,,NASHVILLE,CED,#N\A,,,S,1,M,0.64530015,1.03851201,C,0.00978617585343537,0
Delphi city," 3,004 ","18","17614","02394507","1817614",1600000US1817614,Delphi,Delphi city,"25",C1,N,G4110,A,"7031551","0","+40.5834081","-086.6668107",0," 3,004 ","18","17614","02394507","1817614",1600000US1817614,Delphi,Delphi city,"25",C1,N,G4110,A,"7031551","0","+40.5834081","-086.6668107",1," 3,004 ","18","17614","02394507","1817614",1600000US1817614,Delphi,Delphi city,"25",C1,N,G4110,A,"7031551","0","+40.5834081","-086.6668107","190495","491073","422314","422488","18","015","18015",IN,US,"4",NS,,,,,,,,,,,,,,,,,,0,O,0.92558864,1.4895935,E,0.0169671221033588,0
Denver town," 473 ","18","17776","02396685","1817776",1600000US1817776,Denver,Denver town,"43",C1,N,G4110,A,"621375","0","+40.8647620","-086.0770929",0," 473 ","18","17776","02396685","1817776",1600000US1817776,Denver,Denver town,"43",C1,N,G4110,A,"621375","0","+40.8647620","-086.0770929",0," 473 ","18","17776","02396685","1817776",1600000US1817776,Denver,Denver town,"43",C1,N,G4110,A,"621375","0","+40.8647620","-086.0770929","194779","495364","425199","425276","18","103","18103",IN,US,"4",NS,,,,,,,,,,,,,,,PERU,,,0,Y,0.94857813,1.52659158,E,0.0176738575594113,14310.085421851
